File: /image_copy_8.bmp, Duration: 425.795509ms
File: /image_copy_3.bmp, Duration: 485.291179ms
File: /image_copy_7.bmp, Duration: 484.193763ms
File: /image_copy_9.bmp, Duration: 473.351418ms
File: /image_copy_11.bmp, Duration: 545.869287ms
File: /image_copy_5.bmp, Duration: 514.380976ms
File: /image_copy_2.bmp, Duration: 534.363033ms
File: /image_copy_4.bmp, Duration: 521.623587ms
File: /image_copy_6.bmp, Duration: 509.986227ms
File: /image_copy_10.bmp, Duration: 558.371837ms
File: /image_copy_1.bmp, Duration: 556.528176ms
