File: /image_copy_11.bmp, Duration: 490.595809ms
File: /image_copy_10.bmp, Duration: 555.981081ms
File: /image_copy_2.bmp, Duration: 517.765501ms
File: /image_copy_5.bmp, Duration: 492.5443ms
File: /image_copy_4.bmp, Duration: 518.456641ms
File: /image_copy_6.bmp, Duration: 483.395064ms
File: /image_copy_9.bmp, Duration: 415.741139ms
File: /image_copy_8.bmp, Duration: 452.389541ms
File: /image_copy_1.bmp, Duration: 600.383959ms
File: /image_copy_7.bmp, Duration: 492.958767ms
File: /image_copy_3.bmp, Duration: 563.246722ms
