File: /image_copy_5.bmp, Duration: 455.642382ms
File: /image_copy_7.bmp, Duration: 467.903711ms
File: /image_copy_9.bmp, Duration: 478.427338ms
File: /image_copy_4.bmp, Duration: 505.289014ms
File: /image_copy_1.bmp, Duration: 524.614244ms
File: /image_copy_11.bmp, Duration: 537.339ms
File: /image_copy_3.bmp, Duration: 526.314347ms
File: /image_copy_8.bmp, Duration: 504.696724ms
File: /image_copy_2.bmp, Duration: 533.965674ms
File: /image_copy_6.bmp, Duration: 515.680832ms
File: /image_copy_10.bmp, Duration: 548.270788ms
